source,line,specifier,edge_kind,owner
apps/app-client/runtime/src/shell/BottomNavBar.tsx,1,react,IMPORT_OR_EXPORT,app-client
apps/app-client/runtime/src/shell/BottomNavBar.tsx,2,react-native,IMPORT_OR_EXPORT,app-client
apps/app-client/runtime/src/shell/BottomNavBar.tsx,3,@bthwani/ui-kit,IMPORT_OR_EXPORT,app-client
apps/app-client/runtime/tests/client-operational-experience-contract.test.mjs,1,node:assert/strict,IMPORT_OR_EXPORT,app-client
apps/app-client/runtime/tests/client-operational-experience-contract.test.mjs,2,node:fs,IMPORT_OR_EXPORT,app-client
apps/app-client/runtime/tests/client-operational-experience-contract.test.mjs,3,node:path,IMPORT_OR_EXPORT,app-client
apps/app-client/runtime/tests/client-operational-experience-contract.test.mjs,4,node:test,IMPORT_OR_EXPORT,app-client
apps/app-client/runtime/tests/client-operational-experience-contract.test.mjs,5,node:url,IMPORT_OR_EXPORT,app-client
apps/app-client/runtime/tests/mobile-dev-runtime-contract.test.mjs,1,node:assert/strict,IMPORT_OR_EXPORT,app-client
apps/app-client/runtime/tests/mobile-dev-runtime-contract.test.mjs,2,node:fs,IMPORT_OR_EXPORT,app-client
apps/app-client/runtime/tests/mobile-dev-runtime-contract.test.mjs,3,node:path,IMPORT_OR_EXPORT,app-client
apps/app-client/runtime/tests/mobile-dev-runtime-contract.test.mjs,4,node:child_process,IMPORT_OR_EXPORT,app-client
apps/app-client/runtime/tests/mobile-dev-runtime-contract.test.mjs,5,node:module,IMPORT_OR_EXPORT,app-client
apps/app-client/runtime/tests/mobile-dev-runtime-contract.test.mjs,6,node:url,IMPORT_OR_EXPORT,app-client
apps/app-client/runtime/tests/mobile-dev-runtime-contract.test.mjs,7,node:test,IMPORT_OR_EXPORT,app-client
apps/app-client/runtime/tests/mobile-development-provider-contract.test.mjs,1,node:assert/strict,IMPORT_OR_EXPORT,app-client
apps/app-client/runtime/tests/mobile-development-provider-contract.test.mjs,2,node:module,IMPORT_OR_EXPORT,app-client
apps/app-client/runtime/tests/mobile-development-provider-contract.test.mjs,3,node:fs,IMPORT_OR_EXPORT,app-client
apps/app-client/runtime/tests/mobile-development-provider-contract.test.mjs,4,node:path,IMPORT_OR_EXPORT,app-client
apps/app-client/runtime/tests/mobile-development-provider-contract.test.mjs,5,node:test,IMPORT_OR_EXPORT,app-client
apps/app-client/runtime/tests/mobile-development-provider-contract.test.mjs,6,node:url,IMPORT_OR_EXPORT,app-client
apps/app-client/runtime/tests/mobile-eas-hardening-contract.test.mjs,1,node:assert/strict,IMPORT_OR_EXPORT,app-client
apps/app-client/runtime/tests/mobile-eas-hardening-contract.test.mjs,2,node:fs,IMPORT_OR_EXPORT,app-client
apps/app-client/runtime/tests/mobile-eas-hardening-contract.test.mjs,3,node:path,IMPORT_OR_EXPORT,app-client
apps/app-client/runtime/tests/mobile-eas-hardening-contract.test.mjs,4,node:test,IMPORT_OR_EXPORT,app-client
apps/app-client/runtime/tests/mobile-eas-hardening-contract.test.mjs,5,node:url,IMPORT_OR_EXPORT,app-client
apps/app-client/runtime/tests/mobile-eas-hardening-contract.test.mjs,100,../../apps/mobile/eas-build-mobile.mjs,IMPORT_OR_EXPORT,app-client
apps/app-client/runtime/tests/mobile-eas-hardening-contract.test.mjs,117,../../../apps/mobile/lib/package-manager-invocation.mjs,IMPORT_OR_EXPORT,app-client
apps/app-client/runtime/tests/mobile-layout-and-quota-contract.test.mjs,1,node:assert/strict,IMPORT_OR_EXPORT,app-client
apps/app-client/runtime/tests/mobile-layout-and-quota-contract.test.mjs,2,node:fs,IMPORT_OR_EXPORT,app-client
apps/app-client/runtime/tests/mobile-layout-and-quota-contract.test.mjs,3,node:path,IMPORT_OR_EXPORT,app-client
apps/app-client/runtime/tests/mobile-layout-and-quota-contract.test.mjs,4,node:test,IMPORT_OR_EXPORT,app-client
apps/app-client/runtime/tests/mobile-layout-and-quota-contract.test.mjs,5,node:url,IMPORT_OR_EXPORT,app-client
apps/app-client/runtime/tests/mobile-native-config-contract.test.mjs,1,node:assert/strict,IMPORT_OR_EXPORT,app-client
apps/app-client/runtime/tests/mobile-native-config-contract.test.mjs,2,node:module,IMPORT_OR_EXPORT,app-client
apps/app-client/runtime/tests/mobile-native-config-contract.test.mjs,3,node:fs,IMPORT_OR_EXPORT,app-client
apps/app-client/runtime/tests/mobile-native-config-contract.test.mjs,4,node:path,IMPORT_OR_EXPORT,app-client
apps/app-client/runtime/tests/mobile-native-config-contract.test.mjs,5,node:test,IMPORT_OR_EXPORT,app-client
apps/app-client/runtime/tests/mobile-native-config-contract.test.mjs,8,../../../../tools/mobile/defineBthwaniExpoApp.js,IMPORT_OR_EXPORT,app-client
apps/app-client/runtime/tests/mobile-runtime-contract.test.mjs,1,node:assert/strict,IMPORT_OR_EXPORT,app-client
apps/app-client/runtime/tests/mobile-runtime-contract.test.mjs,2,node:child_process,IMPORT_OR_EXPORT,app-client
apps/app-client/runtime/tests/mobile-runtime-contract.test.mjs,3,node:fs,IMPORT_OR_EXPORT,app-client
apps/app-client/runtime/tests/mobile-runtime-contract.test.mjs,4,node:path,IMPORT_OR_EXPORT,app-client
apps/app-client/runtime/tests/mobile-runtime-contract.test.mjs,5,node:test,IMPORT_OR_EXPORT,app-client
apps/app-client/runtime/tests/runtime-bootstrap-regression-contract.test.mjs,1,node:assert/strict,IMPORT_OR_EXPORT,app-client
apps/app-client/runtime/tests/runtime-bootstrap-regression-contract.test.mjs,2,node:fs,IMPORT_OR_EXPORT,app-client
apps/app-client/runtime/tests/runtime-bootstrap-regression-contract.test.mjs,3,node:path,IMPORT_OR_EXPORT,app-client
apps/app-client/runtime/tests/runtime-bootstrap-regression-contract.test.mjs,4,node:test,IMPORT_OR_EXPORT,app-client
apps/app-client/runtime/tests/runtime-bootstrap-regression-contract.test.mjs,5,node:url,IMPORT_OR_EXPORT,app-client
apps/app-client/runtime/tests/sentry-env-contract.test.mjs,1,node:assert/strict,IMPORT_OR_EXPORT,app-client
apps/app-client/runtime/tests/sentry-env-contract.test.mjs,2,node:module,IMPORT_OR_EXPORT,app-client
apps/app-client/runtime/tests/sentry-env-contract.test.mjs,3,node:test,IMPORT_OR_EXPORT,app-client
apps/app-client/runtime/tests/sentry-env-contract.test.mjs,9,../../../../tools/mobile/sentry-env.js,IMPORT_OR_EXPORT,app-client
apps/app-client/runtime/tests/sentry-env-contract.test.mjs,10,../../../../tools/mobile/defineBthwaniExpoApp.js,IMPORT_OR_EXPORT,app-client
apps/app-field/runtime/app.config.ts,1,../../../tools/mobile/defineBthwaniExpoApp,IMPORT_OR_EXPORT,app-field
apps/app-field/runtime/fingerprint.config.js,1,@expo/fingerprint,IMPORT_OR_EXPORT,app-field
apps/app-field/runtime/index.js,2,./src/index.ts,IMPORT_OR_EXPORT,app-field
apps/app-field/runtime/metro.config.cjs,2,@sentry/react-native/metro,IMPORT_OR_EXPORT,app-field
apps/app-field/runtime/metro.config.cjs,3,path,IMPORT_OR_EXPORT,app-field
apps/app-field/runtime/src/App.tsx,1,react-native,IMPORT_OR_EXPORT,app-field
apps/app-field/runtime/src/App.tsx,3,expo-crypto,IMPORT_OR_EXPORT,app-field
apps/app-field/runtime/src/App.tsx,4,expo-secure-store,IMPORT_OR_EXPORT,app-field
apps/app-field/runtime/src/App.tsx,5,react,IMPORT_OR_EXPORT,app-field
