manifest,service,ordinal,file,declared_state,exists,expected_sha256,actual_sha256,verification_state,baseline_sha
services/dsh/database/migrations/manifest.json,dsh,150,dsh-129_operational_policy_closure.sql,HISTORICAL_IMMUTABLE,true,a9b485539d04c747640b825777ed5232885591ba4b950fe0c3ec425487065ee1,a9b485539d04c747640b825777ed5232885591ba4b950fe0c3ec425487065ee1,PASS,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
services/dsh/database/migrations/manifest.json,dsh,151,dsh-129_order_preparation_alerts.sql,HISTORICAL_IMMUTABLE,true,3a0456edd1e8b64ebd5e1487c78d47f0432120c4200aebc28e21503ec39be891,3a0456edd1e8b64ebd5e1487c78d47f0432120c4200aebc28e21503ec39be891,PASS,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
services/dsh/database/migrations/manifest.json,dsh,152,dsh-130_store_visibility_projection.sql,HISTORICAL_IMMUTABLE,true,0c8a9c60f8cb9180daf4870d8bda0c96ae23f22214a924b4b40f6075b926713c,0c8a9c60f8cb9180daf4870d8bda0c96ae23f22214a924b4b40f6075b926713c,PASS,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
services/dsh/database/migrations/manifest.json,dsh,153,dsh-131_governed_administration_closure.sql,HISTORICAL_IMMUTABLE,true,283f96aeabf1b78285ee9511a9047150517304599a10cbfde81ccd0958f7b9c7,283f96aeabf1b78285ee9511a9047150517304599a10cbfde81ccd0958f7b9c7,PASS,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
services/dsh/database/migrations/manifest.json,dsh,154,dsh-900_client_address_active_idempotency_recovery.sql,HISTORICAL_IMMUTABLE,true,6e6bfa54b2649055cf47eb74d1cd168ca5152838c9e5ead8442dfd9413a9cf0d,a9df7573eaab09283e68095f1e83deb1abcf151440472d90b074b0d342e3488f,CHECKSUM_MISMATCH,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
services/dsh/database/migrations/manifest.json,dsh,155,dsh-901_checkout_create_idempotency.sql,HISTORICAL_IMMUTABLE,true,f33eba7480c723a7e3b4b44a760053b1445560d4ee45987e1095df6f0bafb10a,f33eba7480c723a7e3b4b44a760053b1445560d4ee45987e1095df6f0bafb10a,PASS,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
services/dsh/database/migrations/manifest.json,dsh,156,dsh-901_client_address_logical_deduplication.sql,HISTORICAL_IMMUTABLE,true,e516d6ef438b5e428d6552278cd24ad45e1fd689865ca57f5d9ea00f7633a7dd,e516d6ef438b5e428d6552278cd24ad45e1fd689865ca57f5d9ea00f7633a7dd,PASS,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
services/dsh/database/migrations/manifest.json,dsh,157,dsh-902_order_truth.sql,HISTORICAL_IMMUTABLE,true,4e06dd166b6d8a1eefd71d4f225948ad69144c46d3dce65cd866045e404e4a1f,4e06dd166b6d8a1eefd71d4f225948ad69144c46d3dce65cd866045e404e4a1f,PASS,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
services/dsh/database/migrations/manifest.json,dsh,158,dsh-903_order_event_runtime.sql,HISTORICAL_IMMUTABLE,true,cb1f66482b35bef1b58fe15f44ed45a87c2fb93ef510a382926bb41a818db2da,cb1f66482b35bef1b58fe15f44ed45a87c2fb93ef510a382926bb41a818db2da,PASS,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
services/dsh/database/migrations/manifest.json,dsh,159,dsh-904_order_item_currency_snapshot_closure.sql,HISTORICAL_IMMUTABLE,true,5e7c38af08d01d7af75512e86fddf05cb8e733633695af5415e079fbcdbe1415,5e7c38af08d01d7af75512e86fddf05cb8e733633695af5415e079fbcdbe1415,PASS,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
services/dsh/database/migrations/manifest.json,dsh,160,dsh-904_order_truth_audit.sql,HISTORICAL_IMMUTABLE,true,3903a8d2caa33b80adde38e1f6c46630c016e427269c44a0343e81c4da17dc94,3903a8d2caa33b80adde38e1f6c46630c016e427269c44a0343e81c4da17dc94,PASS,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
