source,line,specifier,edge_kind,owner
core/identity/backend/internal/http/operator_context_boundary.go,8,encoding/json,GO_IMPORT,identity
core/identity/backend/internal/http/operator_context_boundary.go,9,errors,GO_IMPORT,identity
core/identity/backend/internal/http/operator_context_boundary.go,10,net/http,GO_IMPORT,identity
core/identity/backend/internal/http/operator_context_boundary.go,11,os,GO_IMPORT,identity
core/identity/backend/internal/http/operator_context_boundary.go,12,strings,GO_IMPORT,identity
core/identity/backend/internal/http/operator_context_boundary_test.go,4,net/http,GO_IMPORT,identity
core/identity/backend/internal/http/operator_context_boundary_test.go,5,net/http/httptest,GO_IMPORT,identity
core/identity/backend/internal/http/operator_context_boundary_test.go,6,strings,GO_IMPORT,identity
core/identity/backend/internal/http/operator_context_boundary_test.go,7,testing,GO_IMPORT,identity
core/identity/backend/internal/http/otp_boundary.go,4,bytes,GO_IMPORT,identity
core/identity/backend/internal/http/otp_boundary.go,5,context,GO_IMPORT,identity
core/identity/backend/internal/http/otp_boundary.go,6,encoding/json,GO_IMPORT,identity
core/identity/backend/internal/http/otp_boundary.go,7,errors,GO_IMPORT,identity
core/identity/backend/internal/http/otp_boundary.go,8,io,GO_IMPORT,identity
core/identity/backend/internal/http/otp_boundary.go,9,log,GO_IMPORT,identity
core/identity/backend/internal/http/otp_boundary.go,10,net/http,GO_IMPORT,identity
core/identity/backend/internal/http/otp_boundary.go,11,os,GO_IMPORT,identity
core/identity/backend/internal/http/otp_boundary.go,12,strings,GO_IMPORT,identity
core/identity/backend/internal/http/otp_boundary.go,14,identity-api/internal/identity,GO_IMPORT,identity
core/identity/backend/internal/http/otp_boundary_test.go,4,context,GO_IMPORT,identity
core/identity/backend/internal/http/otp_boundary_test.go,5,errors,GO_IMPORT,identity
core/identity/backend/internal/http/otp_boundary_test.go,6,net/http,GO_IMPORT,identity
core/identity/backend/internal/http/otp_boundary_test.go,7,net/http/httptest,GO_IMPORT,identity
core/identity/backend/internal/http/otp_boundary_test.go,8,strings,GO_IMPORT,identity
core/identity/backend/internal/http/otp_boundary_test.go,9,testing,GO_IMPORT,identity
core/identity/backend/internal/http/otp_boundary_test.go,11,identity-api/internal/identity,GO_IMPORT,identity
core/identity/backend/internal/http/partner_access_routes.go,4,crypto/subtle,GO_IMPORT,identity
core/identity/backend/internal/http/partner_access_routes.go,5,errors,GO_IMPORT,identity
core/identity/backend/internal/http/partner_access_routes.go,6,net/http,GO_IMPORT,identity
core/identity/backend/internal/http/partner_access_routes.go,7,os,GO_IMPORT,identity
core/identity/backend/internal/http/partner_access_routes.go,8,strings,GO_IMPORT,identity
core/identity/backend/internal/http/partner_access_routes.go,10,identity-api/internal/identity,GO_IMPORT,identity
core/identity/backend/internal/http/partner_access_routes_test.go,4,net/http,GO_IMPORT,identity
core/identity/backend/internal/http/partner_access_routes_test.go,5,net/http/httptest,GO_IMPORT,identity
core/identity/backend/internal/http/partner_access_routes_test.go,6,strings,GO_IMPORT,identity
core/identity/backend/internal/http/partner_access_routes_test.go,7,testing,GO_IMPORT,identity
core/identity/backend/internal/http/request_contract.go,4,crypto/rand,GO_IMPORT,identity
core/identity/backend/internal/http/request_contract.go,5,encoding/hex,GO_IMPORT,identity
core/identity/backend/internal/http/request_contract.go,6,net/http,GO_IMPORT,identity
core/identity/backend/internal/http/request_contract.go,7,strings,GO_IMPORT,identity
core/identity/backend/internal/http/runtime_operator_context_boundary.go,4,net/http,GO_IMPORT,identity
core/identity/backend/internal/http/runtime_operator_context_boundary.go,5,os,GO_IMPORT,identity
core/identity/backend/internal/http/runtime_operator_context_boundary.go,6,strings,GO_IMPORT,identity
core/identity/backend/internal/http/runtime_operator_context_boundary_test.go,4,net/http,GO_IMPORT,identity
core/identity/backend/internal/http/runtime_operator_context_boundary_test.go,5,net/http/httptest,GO_IMPORT,identity
core/identity/backend/internal/http/runtime_operator_context_boundary_test.go,6,strings,GO_IMPORT,identity
core/identity/backend/internal/http/runtime_operator_context_boundary_test.go,7,testing,GO_IMPORT,identity
core/identity/backend/internal/http/runtime_probe_test.go,4,context,GO_IMPORT,identity
core/identity/backend/internal/http/runtime_probe_test.go,5,encoding/json,GO_IMPORT,identity
