surface,path,owner,bytes,lines,classification,binding_state
control-panel,apps/control-panel/runtime/src/app/(shell)/dsh/administration/page.tsx,control-panel,198,7,SCREEN_OR_ROUTE_CANDIDATE,REQUIRES_ROUTE_AND_RUNTIME_PROOF
control-panel,apps/control-panel/runtime/src/app/(shell)/dsh/analytics/operational/page.tsx,control-panel,367,12,SCREEN_OR_ROUTE_CANDIDATE,REQUIRES_ROUTE_AND_RUNTIME_PROOF
control-panel,apps/control-panel/runtime/src/app/(shell)/dsh/analytics/page.tsx,control-panel,321,12,SCREEN_OR_ROUTE_CANDIDATE,REQUIRES_ROUTE_AND_RUNTIME_PROOF
control-panel,apps/control-panel/runtime/src/app/(shell)/dsh/catalogs/governance/page.tsx,control-panel,185,7,SCREEN_OR_ROUTE_CANDIDATE,REQUIRES_ROUTE_AND_RUNTIME_PROOF
control-panel,apps/control-panel/runtime/src/app/(shell)/dsh/catalogs/page.tsx,control-panel,177,7,SCREEN_OR_ROUTE_CANDIDATE,REQUIRES_ROUTE_AND_RUNTIME_PROOF
control-panel,apps/control-panel/runtime/src/app/(shell)/dsh/dashboard/page.tsx,control-panel,193,7,SCREEN_OR_ROUTE_CANDIDATE,REQUIRES_ROUTE_AND_RUNTIME_PROOF
control-panel,apps/control-panel/runtime/src/app/(shell)/dsh/hr/page.tsx,control-panel,157,7,SCREEN_OR_ROUTE_CANDIDATE,REQUIRES_ROUTE_AND_RUNTIME_PROOF
control-panel,apps/control-panel/runtime/src/app/(shell)/dsh/login/page.tsx,control-panel,6138,196,SCREEN_OR_ROUTE_CANDIDATE,REQUIRES_ROUTE_AND_RUNTIME_PROOF
control-panel,apps/control-panel/runtime/src/app/(shell)/dsh/marketing/page.tsx,control-panel,180,7,SCREEN_OR_ROUTE_CANDIDATE,REQUIRES_ROUTE_AND_RUNTIME_PROOF
control-panel,apps/control-panel/runtime/src/app/(shell)/dsh/operations/page.tsx,control-panel,301,12,SCREEN_OR_ROUTE_CANDIDATE,REQUIRES_ROUTE_AND_RUNTIME_PROOF
control-panel,apps/control-panel/runtime/src/app/(shell)/dsh/partners/[partnerId]/page.tsx,control-panel,473,17,SCREEN_OR_ROUTE_CANDIDATE,REQUIRES_ROUTE_AND_RUNTIME_PROOF
control-panel,apps/control-panel/runtime/src/app/(shell)/dsh/partners/page.tsx,control-panel,483,17,SCREEN_OR_ROUTE_CANDIDATE,REQUIRES_ROUTE_AND_RUNTIME_PROOF
control-panel,apps/control-panel/runtime/src/app/(shell)/dsh/partners/stores/page.tsx,control-panel,180,7,SCREEN_OR_ROUTE_CANDIDATE,REQUIRES_ROUTE_AND_RUNTIME_PROOF
control-panel,apps/control-panel/runtime/src/app/(shell)/dsh/platform/page.tsx,control-panel,1390,43,SCREEN_OR_ROUTE_CANDIDATE,REQUIRES_ROUTE_AND_RUNTIME_PROOF
control-panel,apps/control-panel/runtime/src/app/(shell)/dsh/platform/policies/page.tsx,control-panel,206,7,SCREEN_OR_ROUTE_CANDIDATE,REQUIRES_ROUTE_AND_RUNTIME_PROOF
control-panel,apps/control-panel/runtime/src/app/(shell)/dsh/support/page.tsx,control-panel,175,7,SCREEN_OR_ROUTE_CANDIDATE,REQUIRES_ROUTE_AND_RUNTIME_PROOF
control-panel,apps/control-panel/runtime/src/app/(shell)/layout.tsx,control-panel,2398,71,SCREEN_OR_ROUTE_CANDIDATE,REQUIRES_ROUTE_AND_RUNTIME_PROOF
control-panel,apps/control-panel/runtime/src/app/(shell)/wlt/finance/page.tsx,control-panel,535,17,SCREEN_OR_ROUTE_CANDIDATE,REQUIRES_ROUTE_AND_RUNTIME_PROOF
control-panel,apps/control-panel/runtime/src/app/(shell)/wlt/finance/payment-sessions/page.tsx,control-panel,181,5,SCREEN_OR_ROUTE_CANDIDATE,REQUIRES_ROUTE_AND_RUNTIME_PROOF
control-panel,apps/control-panel/runtime/src/app/api/[service]/[...path]/route.ts,control-panel,1989,65,SCREEN_OR_ROUTE_CANDIDATE,REQUIRES_ROUTE_AND_RUNTIME_PROOF
control-panel,apps/control-panel/runtime/src/app/api/auth/activate/route.ts,control-panel,2178,71,SCREEN_OR_ROUTE_CANDIDATE,REQUIRES_ROUTE_AND_RUNTIME_PROOF
control-panel,apps/control-panel/runtime/src/app/api/auth/login/route.ts,control-panel,1967,63,SCREEN_OR_ROUTE_CANDIDATE,REQUIRES_ROUTE_AND_RUNTIME_PROOF
control-panel,apps/control-panel/runtime/src/app/api/auth/logout/route.ts,control-panel,866,28,SCREEN_OR_ROUTE_CANDIDATE,REQUIRES_ROUTE_AND_RUNTIME_PROOF
control-panel,apps/control-panel/runtime/src/app/api/auth/refresh/route.ts,control-panel,1764,57,SCREEN_OR_ROUTE_CANDIDATE,REQUIRES_ROUTE_AND_RUNTIME_PROOF
control-panel,apps/control-panel/runtime/src/app/api/auth/session/route.ts,control-panel,1524,46,SCREEN_OR_ROUTE_CANDIDATE,REQUIRES_ROUTE_AND_RUNTIME_PROOF
control-panel,apps/control-panel/runtime/src/app/api/dsh/[...path]/route.ts,control-panel,526,20,SCREEN_OR_ROUTE_CANDIDATE,REQUIRES_ROUTE_AND_RUNTIME_PROOF
control-panel,apps/control-panel/runtime/src/app/api/platform-control/[...path]/route.ts,control-panel,550,20,SCREEN_OR_ROUTE_CANDIDATE,REQUIRES_ROUTE_AND_RUNTIME_PROOF
control-panel,apps/control-panel/runtime/src/app/api/providers/[...path]/route.ts,control-panel,555,24,SCREEN_OR_ROUTE_CANDIDATE,REQUIRES_ROUTE_AND_RUNTIME_PROOF
control-panel,apps/control-panel/runtime/src/app/api/workforce/[...path]/route.ts,control-panel,538,20,SCREEN_OR_ROUTE_CANDIDATE,REQUIRES_ROUTE_AND_RUNTIME_PROOF
control-panel,apps/control-panel/runtime/src/app/layout.tsx,control-panel,3195,95,SCREEN_OR_ROUTE_CANDIDATE,REQUIRES_ROUTE_AND_RUNTIME_PROOF
control-panel,apps/control-panel/runtime/src/app/page.tsx,control-panel,114,5,SCREEN_OR_ROUTE_CANDIDATE,REQUIRES_ROUTE_AND_RUNTIME_PROOF
app-captain,services/dsh/frontend/app-captain/DshOperationScreen.tsx,dsh,3515,78,SCREEN_OR_ROUTE_CANDIDATE,REQUIRES_ROUTE_AND_RUNTIME_PROOF
app-captain,services/dsh/frontend/app-captain/account/DshCaptainEntryScreen.tsx,dsh,3333,95,SCREEN_OR_ROUTE_CANDIDATE,REQUIRES_ROUTE_AND_RUNTIME_PROOF
app-captain,services/dsh/frontend/app-captain/account/DshCaptainOperationsScreen.tsx,dsh,22900,562,SCREEN_OR_ROUTE_CANDIDATE,REQUIRES_ROUTE_AND_RUNTIME_PROOF
app-captain,services/dsh/frontend/app-captain/account/DshCaptainProfileScreen.tsx,dsh,5031,124,SCREEN_OR_ROUTE_CANDIDATE,REQUIRES_ROUTE_AND_RUNTIME_PROOF
app-captain,services/dsh/frontend/app-captain/dispatch/DshCaptainOrdersScreen.tsx,dsh,202,7,SCREEN_OR_ROUTE_CANDIDATE,REQUIRES_ROUTE_AND_RUNTIME_PROOF
app-captain,services/dsh/frontend/app-captain/finance/WltCaptainCodCustodyScreen.tsx,dsh,2933,79,SCREEN_OR_ROUTE_CANDIDATE,REQUIRES_ROUTE_AND_RUNTIME_PROOF
app-captain,services/dsh/frontend/app-captain/finance/WltCaptainFinanceScreen.tsx,dsh,3053,87,SCREEN_OR_ROUTE_CANDIDATE,REQUIRES_ROUTE_AND_RUNTIME_PROOF
app-captain,services/dsh/frontend/app-captain/orders/CaptainAssignmentOfferPanel.tsx,dsh,4518,122,SCREEN_OR_ROUTE_CANDIDATE,REQUIRES_ROUTE_AND_RUNTIME_PROOF
app-captain,services/dsh/frontend/app-captain/orders/CaptainOrderSupportConversationScreen.tsx,dsh,9757,284,SCREEN_OR_ROUTE_CANDIDATE,REQUIRES_ROUTE_AND_RUNTIME_PROOF
app-captain,services/dsh/frontend/app-captain/orders/DshCaptainHomeOrderPanel.tsx,dsh,10954,248,SCREEN_OR_ROUTE_CANDIDATE,REQUIRES_ROUTE_AND_RUNTIME_PROOF
app-captain,services/dsh/frontend/app-captain/orders/DshCaptainMapScreen.tsx,dsh,9236,240,SCREEN_OR_ROUTE_CANDIDATE,REQUIRES_ROUTE_AND_RUNTIME_PROOF
app-captain,services/dsh/frontend/app-captain/orders/DshCaptainOrdersScreen.tsx,dsh,18674,387,SCREEN_OR_ROUTE_CANDIDATE,REQUIRES_ROUTE_AND_RUNTIME_PROOF
app-captain,services/dsh/frontend/app-captain/orders/DshCaptainPickupDropoffScreen.tsx,dsh,13185,332,SCREEN_OR_ROUTE_CANDIDATE,REQUIRES_ROUTE_AND_RUNTIME_PROOF
app-captain,services/dsh/frontend/app-captain/orders/DshCaptainPoDSubmissionScreen.tsx,dsh,20215,357,SCREEN_OR_ROUTE_CANDIDATE,REQUIRES_ROUTE_AND_RUNTIME_PROOF
app-captain,services/dsh/frontend/app-captain/orders/OperationalCaptainExecutionScreen.tsx,dsh,10754,263,SCREEN_OR_ROUTE_CANDIDATE,REQUIRES_ROUTE_AND_RUNTIME_PROOF
app-captain,services/dsh/frontend/app-captain/orders/SimpleSupportScreen.tsx,dsh,3350,131,SCREEN_OR_ROUTE_CANDIDATE,REQUIRES_ROUTE_AND_RUNTIME_PROOF
app-captain,services/dsh/frontend/app-captain/store/CaptainStorePickupContextScreen.tsx,dsh,6879,197,SCREEN_OR_ROUTE_CANDIDATE,REQUIRES_ROUTE_AND_RUNTIME_PROOF
app-client,services/dsh/frontend/app-client/account/AddressLocationScreen.tsx,dsh,21496,547,SCREEN_OR_ROUTE_CANDIDATE,REQUIRES_ROUTE_AND_RUNTIME_PROOF
app-client,services/dsh/frontend/app-client/account/BenefitsHubScreen.tsx,dsh,18248,430,SCREEN_OR_ROUTE_CANDIDATE,REQUIRES_ROUTE_AND_RUNTIME_PROOF
app-client,services/dsh/frontend/app-client/account/IdentityHubScreen.tsx,dsh,10504,318,SCREEN_OR_ROUTE_CANDIDATE,REQUIRES_ROUTE_AND_RUNTIME_PROOF
app-client,services/dsh/frontend/app-client/account/MySpaceScreen.tsx,dsh,4560,163,SCREEN_OR_ROUTE_CANDIDATE,REQUIRES_ROUTE_AND_RUNTIME_PROOF
app-client,services/dsh/frontend/app-client/account/PreferencesHubScreen.tsx,dsh,7503,217,SCREEN_OR_ROUTE_CANDIDATE,REQUIRES_ROUTE_AND_RUNTIME_PROOF
app-client,services/dsh/frontend/app-client/cart/CartScreen.tsx,dsh,23532,632,SCREEN_OR_ROUTE_CANDIDATE,REQUIRES_ROUTE_AND_RUNTIME_PROOF
app-client,services/dsh/frontend/app-client/cart/GovernedCartScreen.tsx,dsh,10548,214,SCREEN_OR_ROUTE_CANDIDATE,REQUIRES_ROUTE_AND_RUNTIME_PROOF
app-client,services/dsh/frontend/app-client/checkout/ClientCheckoutRoute.tsx,dsh,4862,148,SCREEN_OR_ROUTE_CANDIDATE,REQUIRES_ROUTE_AND_RUNTIME_PROOF
app-client,services/dsh/frontend/app-client/checkout/GovernedCheckoutScreen.tsx,dsh,10262,217,SCREEN_OR_ROUTE_CANDIDATE,REQUIRES_ROUTE_AND_RUNTIME_PROOF
app-client,services/dsh/frontend/app-client/finance/WltClientWalletPanel.tsx,dsh,839,28,SCREEN_OR_ROUTE_CANDIDATE,REQUIRES_ROUTE_AND_RUNTIME_PROOF
app-client,services/dsh/frontend/app-client/home-discovery/HomeDiscoveryRoute.tsx,dsh,724,19,SCREEN_OR_ROUTE_CANDIDATE,REQUIRES_ROUTE_AND_RUNTIME_PROOF
app-client,services/dsh/frontend/app-client/home-discovery/HomeDiscoveryScreen.tsx,dsh,1640,46,SCREEN_OR_ROUTE_CANDIDATE,REQUIRES_ROUTE_AND_RUNTIME_PROOF
