package_path,package_name,script,command,owner
core/providers/package.json,@bthwani/core-providers,typecheck,tsc --noEmit -p tsconfig.json,providers
core/providers/package.json,@bthwani/core-providers,typecheck:ts7,tsc --noEmit -p tsconfig.json,providers
core/providers/package.json,@bthwani/core-providers,typecheck:ts6:compat,tsc6 --noEmit -p tsconfig.json,providers
core/providers/package.json,@bthwani/core-providers,typecheck:all,pnpm run typecheck:ts7 && pnpm run typecheck:ts6:compat,providers
core/workforce/package.json,@bthwani/core-workforce,openapi:compose,node ../../tools/scripts/compose-openapi-context.mjs workforce,workforce
core/workforce/package.json,@bthwani/core-workforce,openapi:generate,pnpm run openapi:compose && pnpm exec openapi-typescript contracts/generated/workforce.bundle.openapi.yaml -o clients/generated/workforce-api.ts,workforce
core/workforce/package.json,@bthwani/core-workforce,test,cd backend && go test ./...,workforce
core/workforce/package.json,@bthwani/core-workforce,build,node ../../tools/scripts/verify-go-build.mjs backend,workforce
core/workforce/package.json,@bthwani/core-workforce,typecheck,tsc --noEmit -p tsconfig.json,workforce
core/workforce/package.json,@bthwani/core-workforce,typecheck:ts7,tsc --noEmit -p tsconfig.json,workforce
core/workforce/package.json,@bthwani/core-workforce,typecheck:ts6:compat,tsc6 --noEmit -p tsconfig.json,workforce
core/workforce/package.json,@bthwani/core-workforce,typecheck:all,pnpm run typecheck:ts7 && pnpm run typecheck:ts6:compat,workforce
package.json,bthwani-suite-next,postinstall,node tools/scripts/postinstall-generate-clients.mjs,repository
package.json,bthwani-suite-next,contracts:redocly,node tools/important-scripts/contracts-typecheck.mjs,repository
package.json,bthwani-suite-next,contracts:registry,node tools/scripts/generate-contract-registry.mjs,repository
package.json,bthwani-suite-next,contracts:lint,pnpm run contracts:redocly && pnpm run guard:contract-registry-drift,repository
package.json,bthwani-suite-next,typecheck,pnpm -r --if-present typecheck,repository
package.json,bthwani-suite-next,typecheck:ts7,pnpm -r --if-present typecheck:ts7,repository
package.json,bthwani-suite-next,typecheck:ts6:compat,pnpm -r --if-present typecheck:ts6:compat,repository
package.json,bthwani-suite-next,typecheck:all,pnpm run typecheck:ts7 && pnpm run typecheck:ts6:compat,repository
package.json,bthwani-suite-next,build,pnpm -r --if-present build,repository
package.json,bthwani-suite-next,guard:foundation,pwsh -NoProfile -ExecutionPolicy Bypass -File tools/scripts/run-foundation-gate.ps1,repository
package.json,bthwani-suite-next,guard:journey,pwsh -NoProfile -ExecutionPolicy Bypass -File tools/scripts/run-journey-gate.ps1,repository
package.json,bthwani-suite-next,guard:journey-runtime,pwsh -NoProfile -ExecutionPolicy Bypass -File tools/scripts/run-journey-gate.ps1 -Runtime,repository
package.json,bthwani-suite-next,guard:journey:full,pwsh -NoProfile -ExecutionPolicy Bypass -File tools/scripts/run-journey-gate.ps1 -Full,repository
package.json,bthwani-suite-next,docker:runtime:up,"pwsh -NoProfile -ExecutionPolicy Bypass -File infra/docker/scripts/runtime.ps1 -Action up -Profiles dsh,media",repository
package.json,bthwani-suite-next,docker:runtime:down,"pwsh -NoProfile -ExecutionPolicy Bypass -File infra/docker/scripts/runtime.ps1 -Action down -Profiles dsh,media",repository
package.json,bthwani-suite-next,docker:runtime:reset,"pwsh -NoProfile -ExecutionPolicy Bypass -File infra/docker/scripts/runtime.ps1 -Action reset -Profiles dsh,media",repository
package.json,bthwani-suite-next,docker:runtime:smoke,"pwsh -NoProfile -ExecutionPolicy Bypass -File infra/docker/scripts/runtime.ps1 -Action smoke -Profiles dsh,media",repository
package.json,bthwani-suite-next,runtime:full:up,"pwsh -NoProfile -ExecutionPolicy Bypass -File tools/scripts/invoke-runtime-phase.ps1 -Action up -Profiles identity,workforce,dsh,wlt,financial-simulators,mail,media",repository
package.json,bthwani-suite-next,runtime:full:bootstrap-dev,"pwsh -NoProfile -ExecutionPolicy Bypass -File tools/scripts/invoke-runtime-phase.ps1 -Action bootstrap-dev -Profiles identity,workforce,dsh,wlt,financial-simulators,mail,media -Force",repository
package.json,bthwani-suite-next,runtime:full:down,"pwsh -NoProfile -ExecutionPolicy Bypass -File infra/docker/scripts/runtime.ps1 -Action down -Profiles identity,workforce,dsh,wlt,financial-simulators,mail,media",repository
package.json,bthwani-suite-next,runtime:full:reset,"pwsh -NoProfile -ExecutionPolicy Bypass -File infra/docker/scripts/runtime.ps1 -Action reset -Profiles identity,workforce,dsh,wlt,financial-simulators,mail,media",repository
package.json,bthwani-suite-next,runtime:full:smoke,"pwsh -NoProfile -ExecutionPolicy Bypass -File tools/scripts/invoke-runtime-phase.ps1 -Action smoke -Profiles identity,workforce,dsh,wlt,financial-simulators,mail,media",repository
package.json,bthwani-suite-next,runtime:up,"pwsh -NoProfile -ExecutionPolicy Bypass -File infra/docker/scripts/runtime.ps1 -Action up -Profiles dsh,media",repository
package.json,bthwani-suite-next,runtime:bootstrap-dev,"pwsh -NoProfile -ExecutionPolicy Bypass -File infra/docker/scripts/runtime.ps1 -Action bootstrap-dev -Profiles dsh,media -Force",repository
package.json,bthwani-suite-next,runtime:down,"pwsh -NoProfile -ExecutionPolicy Bypass -File infra/docker/scripts/runtime.ps1 -Action down -Profiles dsh,media",repository
package.json,bthwani-suite-next,runtime:reset,"pwsh -NoProfile -ExecutionPolicy Bypass -File infra/docker/scripts/runtime.ps1 -Action reset -Profiles dsh,media",repository
package.json,bthwani-suite-next,runtime:verify-catalog,"pwsh -NoProfile -ExecutionPolicy Bypass -File infra/docker/scripts/runtime.ps1 -Action verify-catalog -Profiles dsh,media",repository
package.json,bthwani-suite-next,runtime:migrate,"pwsh -NoProfile -ExecutionPolicy Bypass -File infra/docker/scripts/runtime.ps1 -Action migrate -Profiles dsh,media",repository
package.json,bthwani-suite-next,runtime:seed,"pwsh -NoProfile -ExecutionPolicy Bypass -File infra/docker/scripts/runtime.ps1 -Action seed -Profiles dsh,media",repository
package.json,bthwani-suite-next,database:dsh:test,pwsh -NoProfile -ExecutionPolicy Bypass -File services/dsh/database/scripts/invoke-dsh-database.ps1 -Action test -Transport docker -TestSuite schema,repository
package.json,bthwani-suite-next,database:dsh:test:seed,pwsh -NoProfile -ExecutionPolicy Bypass -File services/dsh/database/scripts/invoke-dsh-database.ps1 -Action test -Transport docker -TestSuite seed,repository
package.json,bthwani-suite-next,database:dsh:contract,node tools/scripts/check-dsh-database-contract.mjs,repository
package.json,bthwani-suite-next,runtime:smoke,"pwsh -NoProfile -ExecutionPolicy Bypass -File infra/docker/scripts/runtime.ps1 -Action smoke -Profiles dsh,media",repository
package.json,bthwani-suite-next,runtime:status,"pwsh -NoProfile -ExecutionPolicy Bypass -File infra/docker/scripts/runtime.ps1 -Action status -Profiles dsh,media",repository
package.json,bthwani-suite-next,runtime:logs,"pwsh -NoProfile -ExecutionPolicy Bypass -File infra/docker/scripts/runtime.ps1 -Action logs -Profiles dsh,media",repository
package.json,bthwani-suite-next,runtime:identity:status,pwsh -NoProfile -ExecutionPolicy Bypass -File infra/docker/scripts/runtime.ps1 -Action status -Profiles identity,repository
package.json,bthwani-suite-next,runtime:identity:smoke,pwsh -NoProfile -ExecutionPolicy Bypass -File infra/docker/scripts/runtime.ps1 -Action smoke -Profiles identity,repository
package.json,bthwani-suite-next,runtime:workforce:up,"pwsh -NoProfile -ExecutionPolicy Bypass -File infra/docker/scripts/runtime.ps1 -Action up -Profiles identity,workforce",repository
